stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,315040,1074,1230,1487,1792,1971
NY,36,Allegany County,47220,700,745,933,1167,1362
NY,36,Bronx County,1443230,2406,2511,2780,3465,3738
NY,36,Broome County,198365,869,939,1188,1533,1752
NY,36,Cattaraugus County,77000,733,737,953,1169,1343
NY,36,Cayuga County,76170,820,826,1066,1363,1588
NY,36,Chautauqua County,127440,687,725,933,1212,1237
NY,36,Chemung County,83585,960,978,1283,1628,1719
NY,36,Chenango County,47095,754,820,938,1292,1418
NY,36,Clinton County,79840,945,951,1200,1446,1591
NY,36,Columbia County,61470,1171,1180,1347,1623,1786
NY,36,Cortland County,46755,896,901,1118,1387,1877
NY,36,Delaware County,44635,808,812,935,1310,1314
NY,36,Dutchess County,296465,1308,1492,1907,2433,2631
NY,36,Erie County,951230,968,1001,1176,1438,1625
NY,36,Essex County,37315,828,848,1085,1407,1602
NY,36,Franklin County,47460,674,824,983,1239,1430
NY,36,Fulton County,53280,795,800,1050,1265,1411
NY,36,Genesee County,58205,745,897,1087,1310,1441
NY,36,Greene County,48065,1013,1064,1254,1720,1875
NY,36,Hamilton County,5090,1006,1013,1329,1601,1762
NY,36,Herkimer County,60295,922,928,1159,1396,1651
NY,36,Jefferson County,117445,889,977,1282,1740,2133
NY,36,Kings County,2679620,2406,2511,2780,3465,3738
NY,36,Lewis County,26690,732,747,959,1271,1557
NY,36,Livingston County,61980,1022,1149,1427,1720,1892
NY,36,Madison County,68020,963,1074,1321,1616,1821
NY,36,Monroe County,756405,1022,1149,1427,1720,1892
NY,36,Montgomery County,49625,765,864,1026,1306,1368
NY,36,Nassau County,1389160,1848,2241,2586,3352,3591
NY,36,New York County,1645865,2406,2511,2780,3465,3738
NY,36,Niagara County,212230,968,1001,1176,1438,1625
NY,36,Oneida County,231055,922,928,1159,1396,1651
NY,36,Onondaga County,472635,963,1074,1321,1616,1821
NY,36,Ontario County,112290,1022,1149,1427,1720,1892
NY,36,Orange County,401235,1308,1492,1907,2433,2631
NY,36,Orleans County,40150,1022,1149,1427,1720,1892
NY,36,Oswego County,118035,963,1074,1321,1616,1821
NY,36,Otsego County,59680,812,957,1184,1426,1570
NY,36,Putnam County,97940,2406,2511,2780,3465,3738
NY,36,Queens County,2360825,2406,2511,2780,3465,3738
NY,36,Rensselaer County,160945,1074,1230,1487,1792,1971
NY,36,Richmond County,492925,2406,2511,2780,3465,3738
NY,36,Rockland County,337325,2406,2511,2780,3465,3738
NY,36,St. Lawrence County,108670,724,810,1036,1248,1374
NY,36,Saratoga County,236330,1074,1230,1487,1792,1971
NY,36,Schenectady County,159445,1074,1230,1487,1792,1971
NY,36,Schoharie County,29970,1074,1230,1487,1792,1971
NY,36,Schuyler County,17855,725,806,1057,1393,1460
NY,36,Seneca County,33650,820,835,1075,1409,1805
NY,36,Steuben County,93585,829,834,1013,1308,1701
NY,36,Suffolk County,1524485,1848,2241,2586,3352,3591
NY,36,Sullivan County,78725,945,1039,1223,1714,1821
NY,36,Tioga County,48345,869,939,1188,1533,1752
NY,36,Tompkins County,102555,1320,1489,1702,2051,2353
NY,36,Ulster County,182155,1370,1371,1799,2278,2466
NY,36,Warren County,65685,1040,1079,1352,1751,1792
NY,36,Washington County,61310,1040,1079,1352,1751,1792
NY,36,Wayne County,91325,1022,1149,1427,1720,1892
NY,36,Westchester County,997905,2406,2511,2780,3465,3738
NY,36,Wyoming County,40340,712,793,933,1285,1492
NY,36,Yates County,24715,761,846,1110,1366,1764
